tipo,ubicacion,tamano,rendimiento,fertilizante
Kumato,Níjar,8559,3.864282955872511,abono orgánico
Raf,Níjar,5280,4.01880810457053,abono orgánico
Cherry,Almería,1823,1.482396452057785,NPK
Cherry,Roquetas de Mar,2769,3.050383878257628,abono orgánico
Kumato,Adra,3570,4.934876185679668,abono granulado
Cherry,Níjar,4994,3.7336263491284427,abono orgánico
Cherry,Almería,9537,1.1113437902214183,abono granulado
Pera,Adra,8652,1.4513839876304089,abono orgánico
Cherry,Almería,3583,1.925275793689703,abono granulado
Kumato,Roquetas de Mar,2901,2.9113823423781566,abono foliar
Kumato,Adra,1912,2.4893205208830183,NPK
Kumato,Roquetas de Mar,1430,3.77982414544601,abono foliar
Corazón de buey,Roquetas de Mar,2112,1.3697895760060952,abono granulado
Pera,Níjar,8179,4.763305419743097,abono líquido
Kumato,El Ejido,2307,2.726345657291052,abono granulado
Kumato,Níjar,9441,4.035953630174389,abono granulado
Corazón de buey,El Ejido,2005,4.1266475599347086,abono granulado
Pera,Almería,6374,3.0995201725127326,abono orgánico
Kumato,Adra,2695,3.1922054490275245,NPK
Pera,Roquetas de Mar,6098,4.41094402823645,abono líquido
Corazón de buey,El Ejido,8836,1.3197593825905356,abono foliar
Kumato,Almería,9062,3.3343651105807823,abono foliar
Pera,Adra,4821,2.777970837921466,NPK
Raf,Níjar,2857,1.3293997666588258,NPK
Cherry,Adra,1738,4.611087031986536,abono orgánico
Pera,Roquetas de Mar,3896,3.0128323844716,abono foliar
Raf,El Ejido,6540,1.9601742354768512,abono granulado
Cherry,El Ejido,7354,3.5177387270975906,abono líquido
Kumato,Adra,5747,4.632429539506089,abono orgánico
Corazón de buey,Almería,2680,2.707349463599994,abono líquido
Pera,Níjar,9557,3.7827605841971224,abono granulado
Kumato,Adra,1352,4.956506841859837,abono foliar
Raf,Adra,7893,4.051123368047422,abono foliar
Raf,Roquetas de Mar,9593,1.3611503119933595,NPK
Pera,Níjar,3555,4.451830013612295,abono granulado
Cherry,Almería,2172,4.902904413971286,NPK
Raf,Roquetas de Mar,1777,1.4216778522097826,abono foliar
Kumato,Níjar,6184,3.686351269433545,abono granulado
Corazón de buey,El Ejido,7444,3.806835569225504,abono foliar
Corazón de buey,Roquetas de Mar,5655,1.5877450396779818,abono foliar
Corazón de buey,Níjar,2964,3.3086905849085784,NPK
Corazón de buey,Roquetas de Mar,5819,3.3435287929463438,abono foliar
Kumato,El Ejido,7212,1.7948540536935331,abono líquido
