@relation datos

@attribute tipo {Kumato,Raf,Cherry,Pera,'Corazón de buey'}
@attribute ubicacion {Níjar,Almería,'Roquetas de Mar',Adra,'El Ejido'}
@attribute tamano numeric
@attribute rendimiento numeric
@attribute fertilizante {'abono orgánico',NPK,'abono granulado','abono foliar','abono líquido'}

@data
Kumato,Níjar,8559,3.864283,'abono orgánico'
Raf,Níjar,5280,4.018808,'abono orgánico'
Cherry,Almería,1823,1.482396,NPK
Cherry,'Roquetas de Mar',2769,3.050384,'abono orgánico'
Kumato,Adra,3570,4.934876,'abono granulado'
Cherry,Níjar,4994,3.733626,'abono orgánico'
Cherry,Almería,9537,1.111344,'abono granulado'
Pera,Adra,8652,1.451384,'abono orgánico'
Cherry,Almería,3583,1.925276,'abono granulado'
Kumato,'Roquetas de Mar',2901,2.911382,'abono foliar'
Kumato,Adra,1912,2.489321,NPK
Kumato,'Roquetas de Mar',1430,3.779824,'abono foliar'
'Corazón de buey','Roquetas de Mar',2112,1.36979,'abono granulado'
Pera,Níjar,8179,4.763305,'abono líquido'
Kumato,'El Ejido',2307,2.726346,'abono granulado'
Kumato,Níjar,9441,4.035954,'abono granulado'
'Corazón de buey','El Ejido',2005,4.126648,'abono granulado'
Pera,Almería,6374,3.09952,'abono orgánico'
Kumato,Adra,2695,3.192205,NPK
Pera,'Roquetas de Mar',6098,4.410944,'abono líquido'
'Corazón de buey','El Ejido',8836,1.319759,'abono foliar'
Kumato,Almería,9062,3.334365,'abono foliar'
Pera,Adra,4821,2.777971,NPK
Raf,Níjar,2857,1.3294,NPK
Cherry,Adra,1738,4.611087,'abono orgánico'
Pera,'Roquetas de Mar',3896,3.012832,'abono foliar'
Raf,'El Ejido',6540,1.960174,'abono granulado'
Cherry,'El Ejido',7354,3.517739,'abono líquido'
Kumato,Adra,5747,4.63243,'abono orgánico'
'Corazón de buey',Almería,2680,2.707349,'abono líquido'
Pera,Níjar,9557,3.782761,'abono granulado'
Kumato,Adra,1352,4.956507,'abono foliar'
Raf,Adra,7893,4.051123,'abono foliar'
Raf,'Roquetas de Mar',9593,1.36115,NPK
Pera,Níjar,3555,4.45183,'abono granulado'
Cherry,Almería,2172,4.902904,NPK
Raf,'Roquetas de Mar',1777,1.421678,'abono foliar'
Kumato,Níjar,6184,3.686351,'abono granulado'
'Corazón de buey','El Ejido',7444,3.806836,'abono foliar'
'Corazón de buey','Roquetas de Mar',5655,1.587745,'abono foliar'
'Corazón de buey',Níjar,2964,3.308691,NPK
