tipo,ubicacion,tamano,rendimiento,fertilizante
Cherry,Adra,9291,muy bueno,abono organico
Raf,Adra,7297,muy bueno,abono organico
Kumato,Roquetas de Mar,1141,muy bueno,abono organico
Cherry,Adra,3507,medio,abono foliar
Corazon de buey,El Ejido,2361,malo,abono organico
Cherry,Adra,7771,medio,abono granulado
Pera,Adra,5685,medio,abono foliar
Corazon de buey,Adra,1838,medio,abono liquido
Cherry,El Ejido,9225,medio,NPK
Kumato,Nijar,9754,malo,abono organico
Raf,Nijar,5987,medio,abono organico
Pera,Adra,2514,medio,NPK
Raf,Adra,9332,bueno,abono granulado
Corazon de buey,Adra,5509,bueno,NPK
Cherry,Roquetas de Mar,2310,muy bueno,abono organico
Kumato,Almeria,3021,muy bueno,abono granulado
Kumato,Nijar,4563,muy bueno,abono foliar
Raf,Almeria,6989,medio,NPK
Corazon de buey,Nijar,5951,medio,NPK
Pera,Almeria,3995,malo,abono granulado
Cherry,El Ejido,3475,muy bueno,NPK
Cherry,Roquetas de Mar,2060,muy bueno,NPK
Kumato,Almeria,9966,bueno,abono granulado
Kumato,Almeria,3328,medio,abono organico
Kumato,Roquetas de Mar,3261,medio,abono organico
Cherry,Nijar,3685,bueno,abono liquido
Kumato,Roquetas de Mar,4798,medio,abono liquido
Raf,Nijar,8672,bueno,abono granulado
Corazon de buey,Roquetas de Mar,6921,medio,NPK
Kumato,Nijar,8015,muy bueno,abono organico
Pera,Roquetas de Mar,2188,medio,abono foliar
Cherry,El Ejido,5203,muy bueno,abono liquido
Kumato,Nijar,2710,medio,abono liquido
Cherry,El Ejido,7482,medio,abono organico
Kumato,El Ejido,5784,muy bueno,abono foliar
Cherry,Nijar,1771,bueno,abono liquido
Corazon de buey,Nijar,3880,bueno,abono liquido
Pera,Roquetas de Mar,6214,medio,abono organico
Pera,Adra,2250,malo,abono organico
Kumato,Nijar,3775,bueno,abono granulado
Kumato,El Ejido,3100,medio,abono organico
Kumato,El Ejido,3717,medio,abono organico
Kumato,Almeria,6471,medio,abono liquido
Kumato,El Ejido,9215,medio,abono liquido
Pera,El Ejido,6050,malo,abono organico
Corazon de buey,El Ejido,5289,medio,abono liquido
Cherry,Nijar,1031,malo,abono foliar
Cherry,El Ejido,2879,medio,NPK
Corazon de buey,Almeria,2631,malo,abono granulado
Kumato,Almeria,4897,muy bueno,abono foliar
Corazon de buey,Nijar,9905,bueno,abono granulado
Raf,Almeria,5516,muy bueno,NPK
Kumato,Adra,6586,medio,abono organico
Raf,Adra,1020,medio,abono organico
Raf,Almeria,5611,malo,abono foliar
Raf,El Ejido,8850,malo,abono liquido
Raf,El Ejido,6677,medio,abono granulado
Raf,El Ejido,7532,bueno,abono liquido
Kumato,Nijar,3288,muy bueno,abono foliar
Cherry,Almeria,1549,bueno,abono liquido
Raf,Almeria,8619,bueno,abono liquido
Cherry,Adra,2350,medio,abono liquido
Raf,El Ejido,6075,malo,abono organico
Raf,Almeria,8440,medio,NPK
Raf,Almeria,6413,bueno,abono foliar
Pera,El Ejido,7884,medio,abono foliar
Kumato,Nijar,2598,muy bueno,abono granulado
Pera,Adra,2751,medio,NPK
Pera,Almeria,2442,muy bueno,abono organico
Cherry,El Ejido,6154,bueno,abono liquido
Raf,Adra,1786,malo,NPK
Pera,El Ejido,2761,bueno,abono granulado
Cherry,El Ejido,1382,malo,abono granulado
Kumato,Roquetas de Mar,2159,malo,abono granulado
Pera,Almeria,9805,muy bueno,abono granulado
Pera,Almeria,9859,muy bueno,abono organico
Cherry,Almeria,3496,medio,abono liquido
Kumato,Almeria,8651,muy bueno,abono liquido
Kumato,Roquetas de Mar,3314,bueno,abono granulado
Kumato,El Ejido,1259,malo,NPK
Cherry,El Ejido,5176,bueno,abono foliar
Cherry,Nijar,9192,muy bueno,abono foliar
Corazon de buey,Roquetas de Mar,8722,malo,abono granulado
Corazon de buey,El Ejido,4190,bueno,abono organico
Raf,Almeria,6665,muy bueno,abono organico
Raf,Nijar,7808,malo,abono organico
Cherry,Nijar,2364,muy bueno,abono organico
Cherry,Adra,8619,muy bueno,NPK
Corazon de buey,Roquetas de Mar,5442,medio,abono granulado
Corazon de buey,El Ejido,1776,bueno,abono granulado
Cherry,El Ejido,5385,bueno,abono organico
Pera,Roquetas de Mar,3903,medio,abono liquido
Cherry,Roquetas de Mar,8548,bueno,NPK
Cherry,Roquetas de Mar,4261,muy bueno,abono foliar
Corazon de buey,Roquetas de Mar,2003,malo,abono organico
Cherry,Almeria,6708,medio,abono granulado
Cherry,Nijar,2221,muy bueno,NPK
Raf,El Ejido,1249,malo,abono liquido
Kumato,Nijar,2366,medio,abono foliar
Corazon de buey,Almeria,9172,medio,abono foliar
