tipo,ubicacion,tamano,rendimiento,fertilizante
Pera,Adra,3192,muy bueno,abono orgánico
Raf,Adra,4644,muy bueno,abono orgánico
Kumato,Adra,1845,medio,abono granulado
Corazón de buey,Níjar,8544,malo,abono granulado
Corazón de buey,El Ejido,9710,bueno,abono foliar
Cherry,Adra,5907,medio,NPK
Cherry,Adra,3931,bueno,abono foliar
Cherry,El Ejido,5214,bueno,abono foliar
Pera,Níjar,8882,muy bueno,abono foliar
Corazón de buey,Almería,6169,medio,abono foliar
Cherry,Almería,8418,malo,abono granulado
Cherry,Níjar,3890,medio,abono líquido
Kumato,Adra,4607,bueno,NPK
Corazón de buey,El Ejido,7805,muy bueno,abono orgánico
Kumato,El Ejido,4187,muy bueno,abono líquido
Corazón de buey,Níjar,6275,bueno,abono granulado
Raf,Adra,7233,medio,abono foliar
Cherry,Almería,5146,medio,abono granulado
Pera,Roquetas de Mar,2786,malo,abono foliar
Corazón de buey,Adra,9051,malo,abono líquido
Corazón de buey,Roquetas de Mar,8652,malo,abono granulado
Raf,Roquetas de Mar,1874,bueno,abono orgánico
Corazón de buey,Roquetas de Mar,4682,muy bueno,abono granulado
Raf,El Ejido,7939,muy bueno,abono líquido
Corazón de buey,Adra,3798,muy bueno,abono granulado
Cherry,El Ejido,2395,malo,abono líquido
Raf,Níjar,4135,bueno,abono granulado
Kumato,Adra,8175,muy bueno,abono foliar
Cherry,Almería,4602,medio,abono orgánico
Raf,Almería,8125,medio,abono líquido
Kumato,El Ejido,1260,muy bueno,abono orgánico
Kumato,El Ejido,7541,malo,abono líquido
Pera,Adra,8928,medio,abono líquido
Kumato,Roquetas de Mar,2014,muy bueno,abono granulado
Pera,Roquetas de Mar,7482,muy bueno,abono orgánico
Kumato,Adra,8286,bueno,abono líquido
Cherry,Adra,8350,bueno,abono líquido
Kumato,Almería,1654,malo,abono foliar
Kumato,Adra,6867,bueno,abono granulado
Raf,Almería,2524,malo,abono granulado
Raf,Níjar,4492,bueno,abono foliar
Raf,El Ejido,7058,medio,abono foliar
Pera,Almería,2851,bueno,abono granulado
Cherry,Adra,2011,bueno,abono granulado
Kumato,Níjar,6348,bueno,NPK
Cherry,Roquetas de Mar,4240,bueno,NPK
Pera,Níjar,2365,bueno,NPK
Raf,Adra,8225,malo,abono granulado
Cherry,Almería,4207,malo,NPK
Corazón de buey,Níjar,9597,bueno,NPK
Cherry,Adra,5584,bueno,abono foliar
Kumato,Adra,4731,medio,abono granulado
Kumato,Níjar,9977,malo,abono orgánico
Pera,Roquetas de Mar,5049,bueno,abono orgánico
Kumato,Níjar,9021,malo,abono granulado
Raf,El Ejido,1669,malo,abono granulado
Corazón de buey,El Ejido,2432,bueno,abono líquido
Raf,Adra,4259,medio,abono granulado
Kumato,El Ejido,3618,bueno,NPK
Cherry,Almería,5339,medio,abono granulado
Cherry,Adra,9482,malo,abono orgánico
Cherry,Adra,2803,malo,abono granulado
Raf,Almería,9645,muy bueno,abono foliar
Pera,El Ejido,3157,medio,abono líquido
Kumato,Níjar,4532,muy bueno,abono granulado
Pera,Roquetas de Mar,7898,bueno,abono granulado
Corazón de buey,Roquetas de Mar,5032,malo,abono orgánico
Corazón de buey,Níjar,2756,medio,abono foliar
Raf,Níjar,9422,malo,NPK
Raf,El Ejido,1767,malo,NPK
Raf,Níjar,6722,bueno,abono líquido
Pera,Níjar,6298,malo,NPK
Pera,Adra,2129,bueno,abono orgánico
Raf,El Ejido,6950,bueno,abono granulado
Raf,Níjar,7756,muy bueno,NPK
Raf,Almería,2489,medio,NPK
Cherry,Roquetas de Mar,3001,medio,abono granulado
Corazón de buey,El Ejido,8805,bueno,abono orgánico
Raf,Roquetas de Mar,3461,medio,NPK
